symbol
MMM
ABT
ABBV
ACN
AAP
AES
AMG
AFL
A
APD
ALK
ALB
ARE
ALLE
AGN
ADS
LNT
ALL
MO
AEE
AEP
AXP
AIG
AMT
AWK
AMP
ABC
AME
APH
APC
ANTM
AON
AOS
APA
AIV
APTV
ADM
ARNC
ANET
AJG
AIZ
T
AZO
AVB
AVY
BHGE
BLL
BAC
BK
BAX
BBT
BDX
BRK-B
BBY
BLK
HRB
BA
BWA
BXP
BSX
BHF
BMY
BR
BF-B
COG
CPB
COF
CPRI
CAH
KMX
CCL
CAT
CBRE
CBS
CE
CNC
CNP
CTL
CF
SCHW
CVX
CMG
CB
CHD
CI
XEC
C
CFG
CLX
CMS
KO
CL
CMA
CAG
CXO
COP
ED
STZ
COO
GLW
COTY
CCI
CMI
CVS
DHI
DHR
DRI
DVA
DE
DAL
DVN
DLR
DFS
DG
D
DOV
DWDP
DTE
DRE
DUK
DXC
EMN
ETN
ECL
EIX
EW
EMR
ETR
EOG
EFX
EQR
ESS
EL
EVRG
ES
RE
EXC
EXR
XOM
FRT
FDX
FIS
FE
FRC
FLT
FLS
FLR
FMC
FL
F
FTV
FBHS
BEN
FCX
GPS
IT
GD
GE
GIS
GM
GPC
GPN
GS
GWW
HAL
HBI
HOG
HRS
HIG
HCA
HCP
HP
HSY
HES
HPE
HLT
HFC
HD
HON
HRL
HST
HPQ
HUM
HII
ITW
IR
ICE
IBM
IP
IPG
IFF
IVZ
IQV
IRM
JEC
JEF
SJM
JNJ
JCI
JPM
JNPR
KSU
K
KEY
KEYS
KMB
KIM
KMI
KSS
KR
LB
LLL
LH
LW
LEG
LEN
LLY
LNC
LIN
LMT
L
LOW
LYB
MTB
MAC
M
MRO
MPC
MMC
MLM
MAS
MA
MKC
MCD
MCK
MDT
MRK
MET
MTD
MGM
MAA
MHK
TAP
MCO
MS
MOS
MSI
MSCI
NOV
NWL
NFX
NEM
NEE
NLSN
NKE
NI
NBL
JWN
NSC
NOC
NRG
NUE
OXY
OMC
OKE
ORCL
PKG
PH
PNR
PKI
PRGO
PFE
PM
PSX
PNW
PXD
PNC
RL
PPG
PPL
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PVH
PWR
DGX
RJF
RTN
O
RHT
REG
RF
RSG
RMD
RHI
ROK
ROL
ROP
RCL
CRM
SLB
SEE
SRE
SHW
SPG
SLG
SNA
SO
LUV
SPGI
SWK
STT
SYK
STI
SYF
SYY
TPR
TGT
TEL
FTI
TFX
TXT
TMO
TIF
TWTR
TJX
TMK
TSS
TDG
TRV
TSN
UDR
USB
UAA
UA
UNP
UAL
UNH
UPS
URI
UTX
UHS
UNM
VFC
VLO
VAR
VTR
VZ
V
VNO
VMC
WMT
DIS
WM
WAT
WEC
WCG
WFC
WELL
WU
WRK
WY
WHR
WMB
XEL
XRX
XYL
YUM
ZBH
ZTS
ABMD
ATVI
ADBE
AMD
AKAM
ALXN
ALGN
GOOGL
GOOG
AMZN
AAL
AMGN
ADI
ANSS
AAPL
AMAT
ADSK
ADP
BIIB
BKNG
AVGO
CHRW
CDNS
CELG
CERN
CHTR
CINF
CTAS
CSCO
CTXS
CME
CTSH
CMCSA
CPRT
COST
CSX
XRAY
FANG
DISCA
DISCK
DISH
DLTR
ETFC
EBAY
EA
EQIX
EXPE
EXPD
FFIV
FB
FAST
FITB
FISV
FLIR
FTNT
GRMN
GILD
GT
HAS
HSIC
HOLX
HBAN
IDXX
INFO
ILMN
INTC
INCY
INTU
ISRG
IPGP
JKHY
JBHT
KLAC
KHC
LRCX
LKQ
MAR
MAT
MXIM
MCHP
MU
MSFT
MDLZ
MNST
MYL
NDAQ
NKTR
NTAP
NFLX
NWSA
NWS
NTRS
NCLH
NVDA
ORLY
PCAR
PAYX
PYPL
PBCT
PEP
QRVO
QCOM
REGN
ROST
SBAC
STX
SWKS
SBUX
SIVB
SYMC
SNPS
TROW
TTWO
TXN
TSCO
TRIP
FOXA
FOX
ULTA
VRSN
VRSK
VRTX
VIAB
WBA
WDC
WLTW
WYNN
XLNX
ZION
